2022-11-29 16:11:43,884 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('A01','202105','202106')'
2022-11-29 16:16:01,394 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('A01','20210501','20210503')'
2022-11-29 16:16:22,304 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('A01','202105','202106')'
2022-11-29 16:18:46,290 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('A01','202105','202106')'
2022-11-29 16:19:10,994 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('A01','2021','2022')'
2022-11-29 16:45:49,763 | FemsService | INFO | succeed to do 'Get_AHU_hum_Hourly_Data('A01','20210501','20210531')'
2022-11-29 17:00:34,573 | FemsService | INFO | succeed to do 'GetAHUConfiguration()'
2022-11-29 19:34:58,029 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('A01','20210501','20210531')'
2022-11-29 19:49:56,289 | FemsService | INFO | error to do 'Get_AHU_KWh_Hourly_Data('I00','20210101','20210131')'
2022-11-29 19:51:06,190 | FemsService | INFO | error to do 'Get_AHU_KWh_Hourly_Data('I00','20210205','20221025')'
2022-11-29 19:52:47,022 | FemsService | INFO | error to do 'Get_AHU_KWh_Hourly_Data('I00','20210205','20221025')'
2022-11-29 19:54:07,791 | FemsService | INFO | succeed to do 'Get_AHU_KWh_Hourly_Data('I00','20210205','20221025')'
2022-11-29 19:55:31,104 | FemsService | INFO | succeed to do 'Get_AHU_KWh_Hourly_Data('I00','20210205','20210215')'
2022-11-29 19:57:49,489 | FemsService | INFO | error to do 'Get_AHU_KWh_glance_Data('I00','202102','202103')'
2022-11-29 19:58:22,276 | FemsService | INFO | succeed to do 'Get_AHU_KWh_glance_Data('I00','202102','202103')'
2022-11-29 19:58:44,837 | FemsService | INFO | succeed to do 'GetAHUConfiguration()'
2022-11-29 19:58:53,802 | FemsService | INFO | succeed to do 'GetAHUInfo()'
2022-11-29 19:59:07,417 | FemsService | INFO | succeed to do 'GetLpDataHourly('20210531')'
2022-11-29 20:16:28,620 | FemsService | INFO | succeed to do 'Get_LpData_Daily('20210501',20210531)'
2022-11-29 20:22:47,583 | FemsService | INFO | succeed to do 'Get_AHU_Info('AHU-01')'
